taxa	group	color	branch_width	tip_size
S.arbuscula_2	S.arbuscula	#4477AA	3	12
S.arbuscula_7	S.arbuscula	#4477AA	3	12
S.arbuscula_9	S.arbuscula	#4477AA	3	12
S.arbuscula_4	S.arbuscula	#4477AA	3	12
S.arbuscula_6	S.arbuscula	#4477AA	3	12
S.arbuscula_5	S.arbuscula	#4477AA	3	12
S.arbuscula_8	S.arbuscula	#4477AA	3	12
S.arbuscula_3	S.arbuscula	#4477AA	3	12
S.lapponum_9	S.lapponum	#66CCEE	3	12
S.lapponum_3	S.lapponum	#66CCEE	3	12
S.lapponum_5	S.lapponum	#66CCEE	3	12
S.lapponum_6	S.lapponum	#66CCEE	3	12
S.lapponum_2	S.lapponum	#66CCEE	3	12
S.lapponum_7	S.lapponum	#66CCEE	3	12
S.lapponum_8	S.lapponum	#66CCEE	3	12
S.lapponum_4	S.lapponum	#66CCEE	3	12
S.phylicifolia_5	S.phylicifolia	#228833	3	12
S.phylicifolia_4	S.phylicifolia	#228833	3	12
S.phylicifolia_1	S.phylicifolia	#228833	3	12
S.phylicifolia_6	S.phylicifolia	#228833	3	12
S.phylicifolia_3	S.phylicifolia	#228833	3	12
S.herbacea_8	S.herbacea	#CCBB44	3	12
S.herbacea_9	S.herbacea	#CCBB44	3	12
S.herbacea_12	S.herbacea	#CCBB44	3	12
S.herbacea_13	S.herbacea	#CCBB44	3	12
S.herbacea_10	S.herbacea	#CCBB44	3	12
S.herbacea_11	S.herbacea	#CCBB44	3	12
S.herbacea_7	S.herbacea	#CCBB44	3	12
S.myrsinites_2	S.myrsinites	#EE6677	3	12
S.myrsinites_5	S.myrsinites	#EE6677	3	12
S.myrsinites_1	S.myrsinites	#EE6677	3	12
S.myrsinites_4	S.myrsinites	#EE6677	3	12
S.myrsinites_3	S.myrsinites	#EE6677	3	12
S.myrsinites_7	S.myrsinites	#EE6677	3	12
S.myrsinites_6	S.myrsinites	#EE6677	3	12
S.purpurea_1	S.purpurea	#AA3377	3	12
S.myrsinifolia_6	S.myrsinifolia	#BBBBBB	3	12
S.myrsinifolia_5	S.myrsinifolia	#BBBBBB	3	12
S.myrsinifolia_10	S.myrsinifolia	#BBBBBB	3	12
S.myrsinifolia_9	S.myrsinifolia	#BBBBBB	3	12
S.myrsinifolia_8	S.myrsinifolia	#BBBBBB	3	12
S.myrsinifolia_3	S.myrsinifolia	#BBBBBB	3	12
S.repens_3	S.repens	#33BBEE	3	12
S.repens_10	S.repens	#33BBEE	3	12
S.repens_6	S.repens	#33BBEE	3	12
S.repens_2	S.repens	#33BBEE	3	12
S.repens_4	S.repens	#33BBEE	3	12
S.repens_ref	S.repens	#33BBEE	3	12
S.caprea_2	S.caprea	#EE7733	3	12
S.caprea_9	S.caprea	#EE7733	3	12
S.caprea_1	S.caprea	#EE7733	3	12
S.caprea_3	S.caprea	#EE7733	3	12
S.caprea_6	S.caprea	#EE7733	3	12
S.caprea_ref	S.caprea	#EE7733	3	12
S.cinerea_3	S.cinerea	#0077BB	3	12
S.cinerea_1	S.cinerea	#0077BB	3	12
S.cinerea_4	S.cinerea	#0077BB	3	12
S.cinerea_2	S.cinerea	#0077BB	3	12
S.aurita_1	S.aurita	#009988	3	12
S.aurita_6	S.aurita	#009988	3	12
S.aurita_2	S.aurita	#009988	3	12
S.aurita_4	S.aurita	#009988	3	12
S.aurita_9	S.aurita	#009988	3	12
S.pentandra_3	S.pentandra	#DDAA33	3	12
S.pentandra_2	S.pentandra	#DDAA33	3	12
S.pentandra_1	S.pentandra	#DDAA33	3	12
S.alba_3	S.alba	#882255	3	12
S.alba_1	S.alba	#882255	3	12
S.alba_2	S.alba	#882255	3	12
S.lanata_2	S.lanata	#CC3311	3	12
S.lanata_10	S.lanata	#CC3311	3	12
S.lanata_9	S.lanata	#CC3311	3	12
S.lanata_6	S.lanata	#CC3311	3	12
S.lanata_8	S.lanata	#CC3311	3	12
S.lanata_5	S.lanata	#CC3311	3	12
S.lanata_7	S.lanata	#CC3311	3	12
S.lanata_3	S.lanata	#CC3311	3	12
S.reticulata_3	S.reticulata	#EE3377	3	12
S.reticulata_8	S.reticulata	#EE3377	3	12
S.reticulata_9	S.reticulata	#EE3377	3	12
S.reticulata_7	S.reticulata	#EE3377	3	12
S.reticulata_2	S.reticulata	#EE3377	3	12
S.reticulata_6	S.reticulata	#EE3377	3	12
S.reticulata_10	S.reticulata	#EE3377	3	12
S.reticulata_5	S.reticulata	#EE3377	3	12
S.reticulata_4	S.reticulata	#EE3377	3	12
