name,species,"subsampling (estimated from the size of the reference genome, the number of reads in one set of paired reads)",fraction
salix_1,S.arbuscula_2,36539829,0.23
salix_2,S.arbuscula_3,36539829,0.23
salix_3,S.arbuscula_4,36539829,0.15
salix_4,S.arbuscula_5,36539829,0.19
salix_5,S.arbuscula_6,36539829,0.15
salix_6,S.arbuscula_7,36539829,0.18
salix_7,S.arbuscula_8,36539829,0.27
salix_8,S.arbuscula_9,36539829,0.19
salix_9,S.herbacea_7,36539829,0.25
salix_10,S.herbacea_8,36539829,0.2
salix_11,S.herbacea_9,36539829,0.17
salix_12,S.herbacea_10,36539829,0.17
salix_13,S.herbacea_11,36539829,0.14
salix_14,S.herbacea_12,36539829,0.16
salix_15,S.herbacea_13,36539829,0.18
salix_16,S.lanata_2,36539829,0.21
salix_17,S.lanata_3,36539829,0.19
salix_18,S.lanata_5,36539829,0.18
salix_19,S.lanata_6,36539829,0.15
salix_20,S.lanata_7,36539829,0.22
salix_21,S.lanata_8,36539829,0.16
salix_22,S.lanata_9,36539829,0.15
salix_23,S.lanata_10,36539829,0.15
salix_24,S.lapponum_2,36539829,0.15
salix_25,S.lapponum_3,36539829,0.15
salix_26,S.lapponum_4,36539829,0.17
salix_27,S.lapponum_5,36539829,0.21
salix_28,S.lapponum_6,36539829,0.19
salix_29,S.lapponum_7,36539829,0.14
salix_30,S.lapponum_8,36539829,0.19
salix_31,S.lapponum_9,36539829,0.14
salix_32,S.myrsinites_1,36539829,0.17
salix_33,S.myrsinites_2,36539829,0.15
salix_34,S.myrsinites_3,36539829,0.17
salix_35,S.myrsinites_4,36539829,0.13
salix_36,S.myrsinites_5,36539829,0.18
salix_37,S.myrsinites_6,36539829,0.14
salix_38,S.myrsinites_7,36539829,0.15
salix_39,S.reticulata_2,36539829,0.19
salix_40,S.reticulata_3,36539829,0.56
salix_41,S.reticulata_4,36539829,0.19
salix_42,S.reticulata_5,36539829,0.2
salix_43,S.reticulata_6,36539829,0.17
salix_44,S.reticulata_7,36539829,0.26
salix_45,S.reticulata_8,36539829,0.22
salix_46,S.reticulata_9,36539829,0.21
salix_47,S.reticulata_10,36539829,0.17
salix_48,S.aurita_1,36539829,0.26
salix_49,S.aurita_2,36539829,0.26
salix_50,S.aurita_4,36539829,0.27
salix_51,S.aurita_6,36539829,0.27
salix_52,S.aurita_9,36539829,0.22
salix_53,S.aurita_10,36539829,0.23
salix_54,S.caprea_1,36539829,0.44
salix_55,S.caprea_2,36539829,0.45
salix_56,S.caprea_3,36539829,0.49
salix_57,S.caprea_6,36539829,0.63
salix_58,S.caprea_9,36539829,0.52
salix_59,S.myrsinifolia_3,36539829,0.2
salix_60,S.myrsinifolia_5,36539829,0.2
salix_61,S.myrsinifolia_6,36539829,0.22
salix_62,S.myrsinifolia_8,36539829,0.21
salix_63,S.myrsinifolia_9,36539829,0.2
salix_64,S.myrsinifolia_10,36539829,0.23
salix_65,S.phylicifolia_1,36539829,0.31
salix_66,S.phylicifolia_3,36539829,0.32
salix_67,S.phylicifolia_4,36539829,0.25
salix_68,S.phylicifolia_5,36539829,0.27
salix_69,S.phylicifolia_6,36539829,0.32
salix_70,S.repens_2,36539829,0.6
salix_71,S.repens_3,36539829,0.5
salix_72,S.repens_4,36539829,0.57
salix_73,S.repens_6,36539829,0.55
salix_74,S.repens_8,36539829,0.52
salix_75,S.repens_10,36539829,0.54
salix_76,S.alba_1,36539829,0.29
salix_77,S.alba_2,36539829,0.33
salix_78,S.alba_3,36539829,0.29
salix_79,S.cinerea_1,36539829,0.35
salix_80,S.cinerea_2,36539829,0.3
salix_81,S.cinerea_3,36539829,0.35
salix_82,S.cinerea_4,36539829,0.32
salix_83,S.pentandra_1,36539829,0.33
salix_84,S.pentandra_2,36539829,0.36
salix_85,S.pentandra_3,36539829,0.37
salix_86,S.purpurea_1,36539829,0.61
